name,review_count,avg_rating,cluster,cluster_name,primary_category
Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,39,4.666666666666667,4,Accessories,Electronics
Amazon Echo (1st Generationcertified) Color:White Free Shipping,13,4.3076923076923075,2,Smart Speakers,Electronics
Amazon Echo (2nd Generation) Smart Assistant Oak Finish Priority Shipping,3,4.333333333333333,2,Smart Speakers,Electronics
Amazon Echo Show - Black,1,5.0,2,Smart Speakers,Electronics
Amazon Echo – White,2,5.0,2,Smart Speakers,Electronics
"Amazon Fire HD 8 with Alexa (8"" HD Display Tablet)",130,4.607692307692307,0,Fire Tablets,Electronics
Amazon Fire TV Gaming Edition Streaming Media Player,3,4.666666666666667,5,Media & Home,Electronics
Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord,9,4.666666666666667,4,Accessories,Electronics
Amazon Kindle Replacement Power Adapter (Fits Latest Generation Kindle and Kindle DX) For shipment in the U.S only,5,2.8,4,Accessories,Electronics
Amazon Tap Smart Assistant Alexaenabled (black) Brand New,601,4.537437603993345,2,Smart Speakers,Electronics
AmazonBasics 11.6-Inch Laptop Sleeve,6,4.0,4,Accessories,Electronics
AmazonBasics 15.6-Inch Laptop and Tablet Bag,21,4.523809523809524,4,Accessories,Electronics
AmazonBasics 16-Gauge Speaker Wire - 100 Feet,5,5.0,5,Media & Home,Electronics
AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,3728,4.453594420600858,3,Batteries & Household,Health & Beauty
AmazonBasics AAA Performance Alkaline Batteries (36 Count),8343,4.448040273282992,3,Batteries & Household,Health & Beauty
AmazonBasics Backpack for Laptops up to 17-inches,25,4.16,4,Accessories,Electronics
AmazonBasics Bluetooth Keyboard for Android Devices - Black,6,4.333333333333333,4,Accessories,Electronics
AmazonBasics Double-Door Folding Metal Dog Crate - Medium (36x23x25 Inches),2,3.5,3,Batteries & Household,Animals & Pet Supplies
AmazonBasics External Hard Drive Case,6,4.5,5,Media & Home,Electronics
AmazonBasics Nespresso Pod Storage Drawer - 50 Capsule Capacity,1,5.0,5,Media & Home,Home & Garden
AmazonBasics Nylon CD/DVD Binder (400 Capacity),4,4.25,5,Media & Home,Electronics
AmazonBasics Silicone Hot Handle Cover/Holder - Red,1,4.0,5,Media & Home,Home & Garden
AmazonBasics Single-Door Folding Metal Dog Crate - Large (42x28x30 Inches),1,5.0,3,Batteries & Household,Animals & Pet Supplies
AmazonBasics USB 3.0 Cable - A-Male to B-Male - 6 Feet (1.8 Meters),6,5.0,4,Accessories,Electronics
AmazonBasics Ventilated Adjustable Laptop Stand,12,4.166666666666667,4,Accessories,Electronics
Cat Litter Box Covered Tray Kitten Extra Large Enclosed Hooded Hidden Toilet,2,5.0,3,Batteries & Household,Animals & Pet Supplies
Certified Refurbished Amazon Echo,7,5.0,2,Smart Speakers,Electronics
Certified Refurbished Amazon Fire TV with Alexa Voice Remote,5,2.8,5,Media & Home,Electronics
Echo Dot (Previous generation),1,4.0,2,Smart Speakers,Electronics
Echo Spot Pair Kit (Black),2,4.5,2,Smart Speakers,Electronics
Expanding Accordion File Folder Plastic Portable Document Organizer Letter Size,9,5.0,3,Batteries & Household,Office Supplies
"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",99,4.585858585858586,0,Fire Tablets,"Office Supplies,Electronics"
"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers",2443,4.597216537044617,0,Fire Tablets,Electronics
"Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Tangerine - with Special Offers",156,4.589743589743589,0,Fire Tablets,Electronics
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",1425,4.534035087719298,0,Fire Tablets,Electronics
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",1212,4.534653465346534,0,Fire Tablets,Electronics
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case",1676,4.531026252983294,0,Fire Tablets,"Toys & Games,Electronics"
Fire TV Stick Streaming Media Player Pair Kit,6,5.0,5,Media & Home,Electronics
"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers",987,4.511651469098277,0,Fire Tablets,Electronics
"Fire Tablet with Alexa, 7 Display, 16 GB, Magenta - with Special Offers",745,4.515436241610738,0,Fire Tablets,Electronics
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",1024,4.5068359375,0,Fire Tablets,Electronics
"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",287,4.543554006968641,1,E-Readers,"Office Supplies,Electronics"
"Kindle Oasis E-reader with Leather Charging Cover - Black, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",55,4.618181818181818,1,E-Readers,Electronics
"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",54,4.62962962962963,1,E-Readers,"Electronics,Media"
"Kindle Oasis E-reader with Leather Charging Cover - Walnut, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",62,4.612903225806452,1,E-Readers,"Electronics,Media"
Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries),5,4.8,4,Accessories,Electronics
"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Free 3G + Wi-Fi - Includes Special Offers",36,4.888888888888889,1,E-Readers,"Electronics,Media"
"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers",505,4.7267326732673265,1,E-Readers,Electronics
Oem Amazon Kindle Power Usb Adapter Wall Travel Charger Fire/dx/+micro Usb Cable,4,1.0,4,Accessories,Electronics
"Two Door Top Load Pet Kennel Travel Crate Dog Cat Pet Cage Carrier Box Tray 23""",1,5.0,3,Batteries & Household,Animals & Pet Supplies
